Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop,Starting Anneal Temp,Starting Anneal Field,Number of Temps
110,170000,120000,5000,1.0,0.0,0.1,20.0,1.0,21

Temperature,K,Spatial Spin Correlation
2.235,33,-4.2352849764e-05
2.235,34,-6.43960124547e-05
2.235,35,-6.53747895347e-05
2.235,36,-0.000104994582889
2.235,37,-9.98939135982e-05
2.235,38,-0.000128361162476
2.235,39,-0.000153575011483
2.235,40,-0.000186715576279
2.235,41,-0.000165444406778
2.235,42,-0.000172268275153
2.235,43,-0.000202858505303
2.235,44,-0.000169083803245
2.235,45,-0.000177630870704
2.235,46,-0.000238907830154
2.235,47,-0.00023765334122
2.235,48,-0.000241017025834
2.235,49,-0.000242271514767
2.235,50,-0.00023899054371
2.235,51,-0.00021973207074
2.235,52,-0.000250087945815
2.235,53,-0.000220931417303
2.235,54,-0.000249054026364
2.2399999999999998,1,0.00195228655986
2.2399999999999998,2,0.0010574499536
2.2399999999999998,3,0.000695357576342
2.2399999999999998,4,0.000448168114049
2.2399999999999998,5,0.00029137078294
2.2399999999999998,6,0.000103762652198
2.2399999999999998,7,2.35580740023e-05
2.2399999999999998,8,-6.20366709298e-05
2.2399999999999998,9,-7.69940389844e-05
2.2399999999999998,10,-0.000114463279881
2.2399999999999998,11,-0.00011734446875
2.2399999999999998,12,-0.000154813709647
2.2399999999999998,13,-0.0001901048269
2.2399999999999998,14,-0.00021971627997
2.2399999999999998,15,-0.000181116620474
2.2399999999999998,16,-0.000164353339779
2.2399999999999998,17,-0.000119908588988
2.2399999999999998,18,-0.000151518952997
2.2399999999999998,19,-0.000159101028969
2.2399999999999998,20,-0.000208894589719
2.2399999999999998,21,-0.000244420062048
2.2399999999999998,22,-0.000237899476711
2.2399999999999998,23,-0.00022728457035
2.2399999999999998,24,-0.000158480677299
2.2399999999999998,25,-0.000140187195816
2.2399999999999998,26,-9.69831483662e-05
2.2399999999999998,27,-7.09145926138e-05
2.2399999999999998,28,-3.11431577404e-05
2.2399999999999998,29,-1.16365441023e-05
2.2399999999999998,30,-4.73550147287e-05
2.2399999999999998,31,-4.12755683581e-05
2.2399999999999998,32,-4.86508604403e-05
2.2399999999999998,33,-9.10967002931e-05
2.2399999999999998,34,-0.000107212058133
2.2399999999999998,35,-0.000111127166453
2.2399999999999998,36,-0.000116007266261
2.2399999999999998,37,-8.19292811628e-05
2.2399999999999998,38,-0.000106495207313
2.2399999999999998,39,-0.000123079275304
2.2399999999999998,40,-0.000144929439697
2.2399999999999998,41,-0.000135196811267
2.2399999999999998,42,-0.000138009072173
2.2399999999999998,43,-0.000169192082809
2.2399999999999998,44,-0.000170653355633
2.2399999999999998,45,-0.000200361307852
2.2399999999999998,46,-0.000187761276145
2.2399999999999998,47,-0.000230730968519
2.2399999999999998,48,-0.000207846884675
2.2399999999999998,49,-0.000227684352538
2.2399999999999998,50,-0.000203821491614
2.2399999999999998,51,-0.000188891694744
2.2399999999999998,52,-0.000220033348602
2.2399999999999998,53,-0.000187140924474
2.2399999999999998,54,-0.00017939342139
2.2449999999999997,1,0.00232671278156
2.2449999999999997,2,0.00145568389385
2.2449999999999997,3,0.000954343244966
2.2449999999999997,4,0.000714212006123
2.2449999999999997,5,0.000490816476791
2.2449999999999997,6,0.000337520686222
2.2449999999999997,7,0.000250299241354
2.2449999999999997,8,0.000183728614316
2.2449999999999997,9,0.000157894413639
2.2449999999999997,10,0.000153593308724
2.2449999999999997,11,0.000121734804047
2.2449999999999997,12,0.000151084330857
2.2449999999999997,13,0.000115145290748
2.2449999999999997,14,9.34467678738e-05
2.2449999999999997,15,3.76151175316e-05
2.2449999999999997,16,1.82771894184e-06
2.2449999999999997,17,-5.95733108419e-05
2.2449999999999997,18,-0.000107822885212
2.2449999999999997,19,-9.73596203698e-05
