Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop,Starting Anneal Temp
60,200000,100000,3000,1.0,0.0,0.1,20.0

Temperature,K,Spatial Spin Correlation
1.5,1,4.05314919439e-05
1.5,2,-1.62795563926e-05
1.5,3,-1.62795563926e-05
1.5,4,2.39589872358e-06
1.5,5,1.18120945805e-05
1.5,6,-7.02029713329e-06
1.5,7,-1.65934295878e-05
1.5,8,-1.64364929902e-05
1.5,9,-1.65934295878e-05
1.5,10,-1.62795563926e-05
1.5,11,-1.62795563926e-05
1.5,12,-1.64364929902e-05
1.5,13,-1.65934295878e-05
1.5,14,-7.17723373091e-06
1.5,15,-7.17723373091e-06
1.5,16,2.5528353212e-06
1.5,17,-1.65934295878e-05
1.5,18,-1.65934295878e-05
1.5,19,-1.65934295878e-05
1.5,20,-7.17723373091e-06
1.5,21,-7.02029713329e-06
1.5,22,-6.86336053568e-06
1.5,23,-1.61226197949e-05
1.5,24,2.5528353212e-06
1.5,25,-7.17723373091e-06
1.5,26,-1.58087465997e-05
1.5,27,-6.54948734045e-06
1.5,28,-1.65934295878e-05
1.5,29,-1.56518100021e-05
1.55,1,1.22776731534e-05
1.55,2,-1.62847876125e-05
1.55,3,-1.55001046244e-05
1.55,4,-1.58139778196e-05
1.55,5,-1.5657041222e-05
1.55,6,-1.5657041222e-05
1.55,7,-6.8685917556e-06
1.55,8,-1.62847876125e-05
1.55,9,-1.61278510149e-05
1.55,10,1.19637999582e-05
1.55,11,-6.8685917556e-06
1.55,12,-1.62847876125e-05
1.55,13,2.54760410128e-06
1.55,14,1.19637999582e-05
1.55,15,-1.5657041222e-05
1.55,16,-6.24084536514e-06
1.55,17,-1.58139778196e-05
1.55,18,-1.61278510149e-05
1.55,19,-1.5657041222e-05
1.55,20,-6.71165515798e-06
1.55,21,-1.61278510149e-05
1.55,22,-6.24084536514e-06
1.55,23,-1.62847876125e-05
1.55,24,-6.8685917556e-06
1.55,25,-6.24084536514e-06
1.55,26,-6.39778196275e-06
1.55,27,-1.58139778196e-05
1.55,28,-6.08390876752e-06
1.55,29,-1.61278510149e-05
1.6,1,6.86336053568e-05
1.6,2,-1.59552207575e-05
1.6,3,-1.59552207575e-05
1.6,4,-1.61121573551e-05
1.6,5,-2.49006068215e-05
1.6,6,-2.52144800167e-05
1.6,7,-1.48566645742e-05
1.6,8,-1.56413475623e-05
1.6,9,-1.56413475623e-05
1.6,10,-1.56413475623e-05
1.6,11,-1.57982841599e-05
1.6,12,-1.46997279766e-05
1.6,13,-2.42728604311e-05
1.6,14,-1.5327474367e-05
1.6,15,-1.48566645742e-05
1.6,16,-2.45867336263e-05
1.6,17,-2.5528353212e-05
1.6,18,-6.38208830299e-06
1.6,19,-1.61121573551e-05
1.6,20,-1.61121573551e-05
1.6,21,-6.69596149822e-06
1.6,22,-6.69596149822e-06
1.6,23,-1.61121573551e-05
1.6,24,-1.59552207575e-05
1.6,25,-1.61121573551e-05
1.6,26,-1.61121573551e-05
1.6,27,-2.5528353212e-05
1.6,28,-1.56413475623e-05
1.6,29,-6.53902490061e-06
1.6500000000000001,1,2.53766478343e-05
1.6500000000000001,2,-2.15473948525e-05
1.6500000000000001,3,-2.15473948525e-05
1.6500000000000001,4,-2.17043314501e-05
1.6500000000000001,5,-2.15473948525e-05
1.6500000000000001,6,-2.15473948525e-05
1.6500000000000001,7,-1.22881355932e-05
1.6500000000000001,8,-2.10765850596e-05
1.6500000000000001,9,-1.18173258004e-05
1.6500000000000001,10,-2.87193973635e-06
1.6500000000000001,11,-1.1974262398e-05
1.6500000000000001,12,-1.13465160075e-05
1.6500000000000001,13,-2.24419334589e-06
1.6500000000000001,14,-2.12335216573e-05
1.6500000000000001,15,-2.12335216573e-05
1.6500000000000001,16,-2.13904582549e-05
1.6500000000000001,17,-2.24419334589e-06
1.6500000000000001,18,-1.16603892028e-05
1.6500000000000001,19,-1.22881355932e-05
1.6500000000000001,20,-2.87193973635e-06
1.6500000000000001,21,-2.17043314501e-05
1.6500000000000001,22,-2.06057752668e-05
1.6500000000000001,23,-2.15473948525e-05
1.6500000000000001,24,-2.55806654112e-06
1.6500000000000001,25,-1.1974262398e-05
1.6500000000000001,26,-2.55806654112e-06
1.6500000000000001,27,-1.22881355932e-05
1.6500000000000001,28,-1.22881355932e-05
1.6500000000000001,29,8.27055869429e-06
1.7000000000000002,1,1.38888888889e-05
