Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop,Starting Anneal Temp
100,200000,100000,5000,1.0,0.0,0.1,20.0

Temperature,K,Spatial Spin Correlation
2.0749999999999997,29,-6.37446464646e-05
2.0749999999999997,30,-4.5077979798e-05
2.0749999999999997,31,-6.81535353535e-06
2.0749999999999997,32,-5.4875959596e-05
2.0749999999999997,33,-5.10981818182e-05
2.0749999999999997,34,-4.31587878788e-05
2.0749999999999997,35,-2.88557575758e-05
2.0749999999999997,36,-5.45123232323e-05
2.0749999999999997,37,-2.49696969697e-07
2.0749999999999997,38,-5.58303030303e-06
2.0749999999999997,39,-3.98707070707e-06
2.0749999999999997,40,-1.24315151515e-05
2.0749999999999997,41,-4.44921212121e-05
2.0749999999999997,42,-6.20274747475e-05
2.0749999999999997,43,-3.84517171717e-05
2.0749999999999997,44,-4.21486868687e-05
2.0749999999999997,45,-7.26739393939e-05
2.0749999999999997,46,-6.00274747475e-05
2.0749999999999997,47,-7.98860606061e-05
2.0749999999999997,48,-9.81688888889e-05
2.0749999999999997,49,-9.60476767677e-05
2.0999999999999996,1,0.000984901010101
2.0999999999999996,2,0.000526860606061
2.0999999999999996,3,0.000352092929293
2.0999999999999996,4,0.00022675959596
2.0999999999999996,5,0.000137022222222
2.0999999999999996,6,7.74464646465e-05
2.0999999999999996,7,4.6395959596e-05
2.0999999999999996,8,1.22545454545e-05
2.0999999999999996,9,-2.36646464646e-05
2.0999999999999996,10,-4.48363636364e-05
2.0999999999999996,11,-5.46545454545e-05
2.0999999999999996,12,-7.06949494949e-05
2.0999999999999996,13,-0.000121361616162
2.0999999999999996,14,-0.000135987878788
2.0999999999999996,15,-0.000133624242424
2.0999999999999996,16,-0.000152290909091
2.0999999999999996,17,-0.000102391919192
2.0999999999999996,18,-8.56444444444e-05
2.0999999999999996,19,-0.000118957575758
2.0999999999999996,20,-0.000119967676768
2.0999999999999996,21,-0.000114977777778
2.0999999999999996,22,-0.00011816969697
2.0999999999999996,23,-0.000126048484848
2.0999999999999996,24,-0.000128371717172
2.0999999999999996,25,-0.000139018181818
2.0999999999999996,26,-0.000128472727273
2.0999999999999996,27,-0.000138311111111
2.0999999999999996,28,-0.000102735353535
2.0999999999999996,29,-0.000123018181818
2.0999999999999996,30,-0.000108654545455
2.0999999999999996,31,-0.000118250505051
2.0999999999999996,32,-9.4896969697e-05
2.0999999999999996,33,-8.81494949495e-05
2.0999999999999996,34,-6.99070707071e-05
2.0999999999999996,35,-7.80888888889e-05
2.0999999999999996,36,-8.57050505051e-05
2.0999999999999996,37,-0.000113866666667
2.0999999999999996,38,-6.42303030303e-05
2.0999999999999996,39,-6.12404040404e-05
2.0999999999999996,40,-5.69777777778e-05
2.0999999999999996,41,-6.91595959596e-05
2.0999999999999996,42,-5.39272727273e-05
2.0999999999999996,43,-6.63313131313e-05
2.0999999999999996,44,-7.60888888889e-05
