Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop,Starting Anneal Temp
60,200000,100000,3000,1.0,0.0,0.1,20.0

Temperature,Magnetization Mean,Magnetization Std Dev,Energy Mean,Energy Std Dev,Heat Capacity,Susceptibility
1.5,-0.986440694444,0.00331785780014,-1.95067908889,0.0110687257683,8.16777934223e-05,1.10081803822e-05
1.55,0.98318795,0.00385686930643,-1.93974625556,0.0124964230508,0.000100748767139,1.48754408477e-05
1.6,-0.979543561111,0.00427459332669,-1.92758883333,0.0134816341921,0.000113596537807,1.82721481086e-05
1.6500000000000001,0.974994122222,0.00502479002889,-1.91288872222,0.0153526878645,0.000142851530099,2.52485148345e-05
1.7000000000000002,-0.970016961111,0.00566860418726,-1.89711065556,0.01693259031,0.00016865447918,3.21330734314e-05
1.7500000000000002,0.963932561111,0.00649287240901,-1.87872238889,0.0183911114796,0.000193275989402,4.21573921197e-05
1.8000000000000003,-0.955838294444,0.0101639407435,-1.85636321111,0.0205094720944,0.000233688025327,0.000103305691437
1.8500000000000003,-0.9478488,0.0087614629841,-1.83297401111,0.0219305922217,0.000259973446052,7.67632336215e-05
1.9000000000000004,-0.937647283333,0.0102458982562,-1.80557985556,0.02443992412,0.000314373626838,0.000104978431076
1.9500000000000004,0.926059038889,0.0118229057432,-1.77568055556,0.0265282491814,0.00036089641263,0.000139781100212
2.0000000000000004,-0.910124777778,0.0150062741492,-1.73962994444,0.0291520955708,0.000424922338084,0.000225188263839
2.0500000000000007,-0.892906133333,0.0168979792834,-1.70086407778,0.0318479578463,0.000494776789744,0.000285541703864
2.1000000000000005,-0.866510922222,0.0237256744137,-1.65097725556,0.035563322016,0.000602261844197,0.000562907626384
2.1500000000000004,-0.837024655556,0.0324622634402,-1.59861993333,0.040585424723,0.00076612869765,0.00105379854766
2.2000000000000006,-0.784200827778,0.0470929394952,-1.52800386667,0.046114920805,0.000966629964023,0.0022177449503
2.250000000000001,-0.644333388889,0.145461852939,-1.43121292222,0.0586319153593,0.00152786733275,0.0211591506605
2.3000000000000007,-0.108192994444,0.45987170127,-1.32270567778,0.0595101795347,0.00153976585576,0.211481981629
2.3500000000000005,0.0923158166667,0.328825298398,-1.23488782222,0.0501074355277,0.00106840642347,0.108126076867
2.400000000000001,0.0199171944444,0.188956660762,-1.16085731111,0.0443954602882,0.000821232039251,0.0357046196463
2.450000000000001,-0.0250967333333,0.160350839675,-1.10667678889,0.0411469022431,0.000691047985391,0.0257123917846
2.500000000000001,-0.0076467,0.12365430383,-1.05617362222,0.0399383341766,0.000638028214722,0.0152903868557
2.5500000000000007,-0.00951013888889,0.117221454219,-1.01508543333,0.0383466973151,0.000576654586264,0.0137408693293
2.600000000000001,0.00168037777778,0.0908188696451,-0.978294166667,0.0371582125817,0.000531051062411,0.00824806708361
2.6500000000000012,-0.00165032222222,0.0831921698344,-0.943475577778,0.036931783476,0.000514700615364,0.00692093712175
2.700000000000001,-0.00190948888889,0.0760893882242,-0.913016555556,0.0360317308375,0.000480846528573,0.00578959500033
2.750000000000001,0.000285488888889,0.0706820335916,-0.8832717,0.0355590215859,0.000459797824053,0.00499594987264
2.800000000000001,-0.00422975,0.067915845681,-0.855891344444,0.0341442520716,0.000416367839116,0.00461256209457
2.8500000000000014,0.00335478333333,0.0660029570495,-0.829261311111,0.0341668577116,0.000409604970486,0.00435639033928
2.9000000000000012,-0.000452672222222,0.0572235186872,-0.806123511111,0.0337809215543,0.00039350022795,0.00327453109095
2.950000000000001,0.000693755555556,0.0569024078947,-0.786118088889,0.0327978601485,0.000364643942482,0.00323788402422
